A A Mamun : professor, nuclear physicist, biochemist
Anselm Turmeda : philosopher, theologian, scholar
Anselmo Duarte : autobiographer, playwright, telenovela actor
Anshuman Ajai Singh : autobiographer, filmmaker, director
Anshuman Jha : director, producer, film director
Anslem Richardson : producer, actres, short story writer
Anson D. Shupe : sociologist, pseudoscientist, social sciences writer
Anson Rainey : autobiographer, archaeologist, anthropologist
Antanas Mockus : autobiographer, president, biographer
Antara Biswas : telugu actor, film director, film actor
Antara Dev Sen : activist, autobiographer, indologist
Antara Mali : telugu actor, film actor, film director
Ante Trstenjak : editor, children's writer, geographer
Anthea Bell : novelist, short story writer, playwright
Anthimos Ananiadis : autobiographer, actres, producer
Anthony Addington : medical doctor, autobiographer, pseudoscientist
Anthony Adducci : inventor, autobiographer, systems scientist
Anthony Adrian Allen : entomologist, zoologist, naturalist
Anthony Ainley : autobiographer, fictional scientist, radio actor
Anthony Allen (lawyer) : autobiographer, antiquarian, memoirist
Anthony Andrews : musical theatre actor, radio actor, actres
Anthony Askew : antiquarian, novelist, biographer
Anthony Aveni : mesoamericanist, pseudoscientist, intellectual historian
Anthony Azizi : musical theatre actor, video game actor, musical theatre actress
Anthony Barclay : musical theatre actor, theatre director, playwright
Anthony Barrett : chemist, scholar, biochemist
Anthony Barrile : short story writer, autobiographer, essayist
Anthony Bate : musical theatre actor, radio actor, autobiographer
Anthony Bean : geographer, botanists active, diarist
Anthony Bourdain : novelist, essayist, television personality
Anthony Bowling : voice actor, voice actress, video game actor
Anthony Bushell : radio actor, autobiographer, short story writer
Anthony Calderbank : novelist, playwright, short story writer
Anthony Caruso (actor) : musical theatre actor, actres, film
Anthony Cave Brown : autobiographer, memoirist, biographer
Anthony Cistaro : producer, short story writer, actres
Anthony Clark (actor) : short story writer, actres, video game actor
Anthony Crivello : musical theatre actor, musical theatre actress, actres
Anthony Daniels : fictional scientist, video game actor, producer
Anthony Davis (comedian) : television presenter, broadcaster, television
Anthony Dawson : fictional scientist, radio actor, autobiographer
Anthony De Longis : fictional scientist, fictional pseudoscientist, short story writer
Anthony DeSando : short story writer, autobiographer, producer
Anthony Delon : film actress, film actor, stage actress
Anthony Durante : professional wrestler, martial artist, autobiographer
Anthony E. Siegman : physicist, inventor, systems scientist
Anthony Earl Numkena : short story writer, producer, fictional scientist
Anthony Edwards : actres, fictional scientist, producer
Anthony Eisley : fictional scientist, producer, autobiographer
Anthony Ellison : short story writer, essayist, fictional scientist
Anthony F. C. Wallace : social sciences writer, essayist, novelist
Anthony F. Upton : autobiographer, military historian, biographer
Anthony Fawcett : short story writer, biographer, fictional scientist
Anthony Fiorillo : paleontologist, geologist, planetary scientist
Anthony Fleming : novelist, autobiographer, film
Anthony Forwood : autobiographer, short story writer, actres
Anthony Fothergill (physician) : medical doctor, physician, autobiographer
Anthony Franciosa : short story writer, actres, fictional scientist
Anthony Francis Lucas : autobiographer, entrepreneur, president
Anthony Giddens, Baron Giddens : sociologist, social sciences writer, economics writer
Anthony Hall (antiquarian) : antiquarian, theologian, hebraist
Anthony Head : fictional scientist, musical theatre actor, actres
Anthony Heald : novelist, short story writer, playwright
Anthony Herrera : short story writer, novelist, autobiographer
Anthony Holland (actor) : musical theatre actor, playwright, actres
Anthony Hopkins : short story writer, autobiographer, novelist
Anthony Hurt Wolley-Dod : army officer, botanists active, horticulturists and gardener
Anthony Ireland (actor) : short story writer, actres, fictional scientist
Anthony Jackson (actor) : radio actor, musical theatre actor, radio actress
Anthony James (actor) : fictional scientist, producer, record producer
Anthony James Hall : social sciences writer, autobiographer, economics writer
Anthony L. Turkevich : nuclear physicist, physical chemist, chemist
Anthony LaPaglia : actres, musical theatre actor, producer
Anthony Lee (actor) : fictional scientist, serial killer, autobiographer
Anthony Lewis Vitale : actres, leader, playwright
Anthony M. Young : mycologist, marine biologist, oceanographer
Anthony Mangano : actres, television personality, producer
Anthony Mann : producer, short story writer, actres
Anthony Marinus Hendrik Johan Stokvis : orientalist, geographer, anthropologist
Anthony Marreco : autobiographer, memoirist, prime minister
Anthony Michael Hall : fictional scientist, producer, short story writer
Anthony Moffat : scholar, autobiographer, sociologist
Anthony Montgomery : fictional scientist, video game actor, musical theatre actor
Anthony Neoh : short story writer, record producer, video game actor
Anthony O'Sullivan : short story writer, fictional scientist, autobiographer
Anthony Pena : video game actor, musical theatre actor, producer
Anthony Powell : short story writer, autobiographer, novelist
Anthony Quayle : autobiographer, biographer, novelist
Anthony Quinn : autobiographer, novelist, short story writer
Anthony Rapp : musical theatre actor, playwright, short story writer
Anthony Ray Parker : actres, fictional scientist, record producer
Anthony Ribustello : autobiographer, biographer, marine
Anthony Rosano : producer, comedian, film actor
Anthony Ross : fictional scientist, video game actor, producer
Anthony Salvin : landscape or garden designer, landscape architect, horticulturists and gardener
Anthony Scaduto : autobiographer, playwright, director
Anthony Shorrocks : sociologist, economist, econometrician
Anthony Simcoe : fictional scientist, producer, video game actor
Anthony Snodgrass : essayist, novelist, autobiographer
Anthony Stacchi : producer, video game actor, filmmaker
Anthony Stafford Beer : systems scientist, communication scholar, social sciences writer
Anthony Starke : actres, musical theatre actor, short story writer
Anthony Steel (historian) : economic historian, diarist, autobiographer
Anthony Steffen : autobiographer, memoirist, novelist
Anthony Stevens (Jungian analyst) : psychologist, cognitive scientist, psychoanalyst
Anthony Thirlwall : economist, social sciences writer, economics writer
Anthony Trafford, Baron Trafford : prime minister, soldier, baron
Anthony Traill (linguist) : cognitive scientist, cultural anthropologist, folklorist
Anthony Trickett : army officer, autobiographer, biographer
Anthony Trollope : novelist, autobiographer, biographer
Anthony Tuck : philosopher, military historian, intellectual historian
Anthony Turner (actor) : memoirist, autobiographer, biographer
Anthony Tyler Quinn : video game actor, actres, fictional scientist
Anthony Valentine : radio actor, musical theatre actor, stage actor
Anthony Valletta : essayist, author, novelist
Anthony Venables : geographer, economic historian, econometrician
Anthony Vincent Genovese : editor, theologian, cartographer
Anthony Wager : autobiographer, musical theatre actor, memoirist
Anthony Wagner : autobiographer, antiquarian, biographer
Anthony Warde : fictional scientist, short story writer, novelist
Anthony Warlow : musical theatre actor, musical theatre actress, stage actor
Anthony Watts (blogger) : social sciences writer, autobiographer, pseudoscientist
Anthony West (author) : short story writer, novelist, autobiographer
Anthony Weston : philosopher, social sciences writer, cognitive scientist
Anthony William Thomas : national academy, physicist, nuclear physicist
Anthony Wong (Hong Kong actor) : film actor, television actor, actor
Anthony Wood : antiquarian, autobiographer, biographer
Antje Traue : stage actress, playwright, actres
Antoine Arnauld : philosopher, theologian, orientalist
Antoine Augustin Cournot : economist, statistician, president
Antoine Berjon : autobiographer, essayist, memoirist
Antoine Bertrand : film producer, film actress, stage actor
Antoine Changuion : autobiographer, memoirist, biographer
Antoine Chappey : silent film actress, musical theatre actress, silent film actor
Antoine Galland : orientalist, memoirist, biographer
Antoine Germain Labarraque : chemist, inventor, pseudoscientist
Antoine Isaac Silvestre de Sacy : orientalist, philologist, linguist
Antoine Jacob : autobiographer, memoirist, biographer
Antoine Jay : memoirist, orientalist, art historian
Antoine Joseph Jean Solier : entomologist, zoologist, naturalist
Antoine Joseph Jobert de Lamballe : anatomist, physician, physiologist
Antoine Laurent de Jussieu : mycologist, botanist, biologist
Antoine Lavoisier : chemist, pseudoscientist, inventor
Antoine Louis : physiologist, anatomist, autobiographer
Antoine Meyer : memoirist, biographer, autobiographer
Antoine Saint-John : producer, playwright, filmmaker
Antoine Saugrain : autobiographer, national academy, diarist
Antoine Schnapper : art historian, orientalist, historian
Antoine Seilern : art historian, autobiographer, memoirist
Antoine Thomas : orientalist, emperor, missionary
Antoine Thomas (linguist) : orientalist, philologist, art historian
Antoine Trial : opera singer, memoirist, essayist
Antoine Varillas : biographer, autobiographer, memoirist
Antoine Vitez : playwright, memoirist, novelist
Antoine Yart : translator, linguist, dramatist
Antoine de La Fosse : communication scholar, translator, logician
Antoine de La Garanderie : philosopher, neurologist, social scientist
Antoine-Alexis Cadet de Vaux : autobiographer, biographer, memoirist
Antoinette Spolar : actres, fictional scientist, musical theatre actress
Anton Ambschel : translator, geographer, linguist
